00000;5555555555;83859;8075;8075
00000;5555555555;30518;10192;8075
00000;5555555555;43094;5295;8075
00000;5555555555;304529;5147;8075
00000;5555555555;543965;58728;8075
00000;5555555555;357022;82057;8075
00000;5555555555;131625;10511;8075
00000;5555555555;70723;3694;8075
00000;5555555555;83859;8075;8075
00000;5555555555;30518;10192;8075
00000;5555555555;43094;5295;8075
00000;5555555555;304529;5147;8075
00000;5555555555;543965;58728;8075
00000;5555555555;357022;82057;8075
00000;5555555555;131625;10511;8075
00000;5555555555;70723;3694;8075
